round,accuracy,accuracy_percent,risk_score,risk_level,suspicious_clients,aggregator,trust_client_1,trust_client_2,trust_client_3,trust_client_4,trust_client_5,trust_client_6,trust_client_7,trust_client_8,trust_client_9,trust_client_10
1,0.5045,50.449999999999996,0.12534941108262337,LOW,1,TRUST_AWARE_FEDAVG,0.9995491184902476,0.990106083208901,1.0,0.9528311928664025,1.0,0.9932578209125078,1.0,1.0,1.0,0.699252518293665
2,0.6624,66.24,0.1157351374101008,LOW,1,TRUST_AWARE_FEDAVG,0.9997294710941486,0.9940636499253406,1.0,0.9716987157198415,1.0,0.9959546925475047,1.0,1.0,1.0,0.2695515109767278
3,0.8355,83.55,0.1335473244579708,LOW,1,TRUST_AWARE_FEDAVG,0.9998376826564891,0.9964381899552044,0.9972813621510135,0.9830192294319049,0.8642446705222397,0.9975728155285029,0.9037340918496748,0.9622436468000013,1.0,0.07776672256458239
4,0.8695,86.95,0.20207313933103138,LOW,1,TRUST_AWARE_FEDAVG,0.9999026095938934,0.9978629139731227,0.9810283159476914,0.9755931280800887,0.8460684545304952,0.9913422144408252,0.8807650452737393,0.9773461880800007,1.0,0.0
5,0.8923,89.23,0.2332000608276136,LOW,1,TRUST_AWARE_FEDAVG,0.996319718918456,0.9987177483838736,0.9886169895686148,0.9853558768480533,0.8437057072654909,0.9948053286644951,0.8762123891624566,0.9677783723593567,1.0,0.0
6,0.9071,90.71000000000001,0.25471944200780744,LOW,1,TRUST_AWARE_FEDAVG,0.9316240193755772,0.9992306490303242,0.9883549298818586,0.9369808269365416,0.876628277771756,0.9968831971986971,0.897169603892524,0.9806670234156141,1.0,0.0
7,0.9159,91.59,0.2668347452870421,LOW,1,TRUST_AWARE_FEDAVG,0.9589744116253462,0.9768978613356183,0.9833644980051037,0.9621884961619249,0.9051598966656558,0.985857768810447,0.9174846923381166,0.9884002140493684,0.9489116896148182,0.0
8,0.922,92.2,0.273648032970001,LOW,1,TRUST_AWARE_FEDAVG,0.9753846469752078,0.986138716801371,0.9815737151525856,0.9773130976971549,0.9275471130694442,0.9915146612862682,0.915443115966455,0.9491747204176085,0.9101359445504582,0.0
9,0.9246,92.46,0.27898551346918476,LOW,1,TRUST_AWARE_FEDAVG,0.9852307881851247,0.9916832300808226,0.9725733290684677,0.9863878586182929,0.9376571473764628,0.9784596291540976,0.931518408652336,0.9695048322505652,0.9460815667302749,0.0
10,0.9342,93.42,0.2830885133013715,LOW,1,TRUST_AWARE_FEDAVG,0.9911384729110748,0.9950099380484936,0.9835439974410807,0.9442863431634301,0.9531121686157624,0.9870757774924586,0.9498275605159381,0.9468679618031302,0.9650908849155024,0.0
