round,accuracy,accuracy_percent,risk_score,risk_level,suspicious_clients,aggregator,trust_client_1,trust_client_2,trust_client_3,trust_client_4,trust_client_5,trust_client_6,trust_client_7,trust_client_8,trust_client_9,trust_client_10
1,0.4884,48.84,0.22103502102813966,LOW,2,TRUST_AWARE_FEDAVG,1.0,0.9973475236717776,1.0,0.9878137247171669,1.0,0.9916206547441453,1.0,1.0,0.7247995180598715,0.7260394707890985
2,0.6544,65.44,0.3625183117260421,MEDIUM,2,TRUST_WEIGHTED_ROBUST,1.0,0.9984085142030665,1.0,0.9926882348303001,1.0,0.9949723928464872,1.0,1.0,0.28487971083727837,0.2856236824747863
3,0.8321,83.21,0.42134543680445613,MEDIUM,2,TRUST_WEIGHTED_ROBUST,1.0,0.9990451085218399,1.0,0.9956129408981801,0.9595482088553845,0.9969834357078923,0.9627670646458076,0.9831924356964864,0.13224240379482197,0.13316174677718343
4,0.8661,86.61,0.49383586780665756,MEDIUM,2,TRUST_WEIGHTED_ROBUST,1.0,0.999427065113104,0.990378464120436,0.9931778876767767,0.9757289253132307,0.9981900614247353,0.9759736006427941,0.9899154614178919,0.043332682235009884,0.03816838875162418
5,0.8926,89.25999999999999,0.521281040567921,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9872847270252729,0.9996562390678624,0.9942270784722615,0.995906732606066,0.9650554556906006,0.9989140368548411,0.9855841603856765,0.9936206216681944,0.0,0.0
6,0.9071,90.71000000000001,0.5273571353872094,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9771719227092991,0.9997937434407175,0.996536247083357,0.9975440395636396,0.9790332734143603,0.9993484221129046,0.9833520980933882,0.9959793988206049,0.0,0.0
7,0.9145,91.45,0.5323908586360375,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9863031536255794,0.9998762460644305,0.9766595101323227,0.9985264237381838,0.9840551195466745,0.9720405156743883,0.9900112588560329,0.9975876392923629,0.0,0.0
8,0.9226,92.25999999999999,0.5350523375281063,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9917818921753476,0.9589598199495545,0.9843951843553431,0.9991158542429103,0.9904330717280047,0.983224309404633,0.9799427626455014,0.9985525835754178,0.0,0.0
9,0.9254,92.54,0.5365625565750533,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9950691353052086,0.9753758919697327,0.9758490542125495,0.9994695125457461,0.9929884956202255,0.9781455900269793,0.9879656575873008,0.9991315501452507,0.0,0.0
10,0.9333,93.33,0.5382299809717431,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9714070741939749,0.9852255351818396,0.9855094325275298,0.9839619040585266,0.9957930973721353,0.9868873540161875,0.9927793945523805,0.9975690235345465,0.0,0.0
