seed,round,accuracy,accuracy_percent,aggregator
42,1,0.481,48.1,STANDARD_FEDAVG
42,2,0.6506,65.06,STANDARD_FEDAVG
42,3,0.812,81.2,STANDARD_FEDAVG
42,4,0.8551,85.50999999999999,STANDARD_FEDAVG
42,5,0.884,88.4,STANDARD_FEDAVG
42,6,0.9013,90.13,STANDARD_FEDAVG
42,7,0.9112,91.12,STANDARD_FEDAVG
42,8,0.9176,91.75999999999999,STANDARD_FEDAVG
42,9,0.9218,92.17999999999999,STANDARD_FEDAVG
42,10,0.9316,93.16,STANDARD_FEDAVG
123,1,0.5874,58.74,STANDARD_FEDAVG
123,2,0.8045,80.45,STANDARD_FEDAVG
123,3,0.8613,86.13,STANDARD_FEDAVG
123,4,0.8894,88.94,STANDARD_FEDAVG
123,5,0.8985,89.85,STANDARD_FEDAVG
123,6,0.9158,91.58,STANDARD_FEDAVG
123,7,0.9254,92.54,STANDARD_FEDAVG
123,8,0.9349,93.49,STANDARD_FEDAVG
123,9,0.9398,93.97999999999999,STANDARD_FEDAVG
123,10,0.9451,94.51,STANDARD_FEDAVG
456,1,0.4344,43.44,STANDARD_FEDAVG
456,2,0.6958,69.58,STANDARD_FEDAVG
456,3,0.8218,82.17999999999999,STANDARD_FEDAVG
456,4,0.8757,87.57000000000001,STANDARD_FEDAVG
456,5,0.8895,88.94999999999999,STANDARD_FEDAVG
456,6,0.9025,90.25,STANDARD_FEDAVG
456,7,0.9099,90.99000000000001,STANDARD_FEDAVG
456,8,0.9131,91.31,STANDARD_FEDAVG
456,9,0.9194,91.94,STANDARD_FEDAVG
456,10,0.9298,92.97999999999999,STANDARD_FEDAVG
789,1,0.4312,43.120000000000005,STANDARD_FEDAVG
789,2,0.6019,60.19,STANDARD_FEDAVG
789,3,0.802,80.2,STANDARD_FEDAVG
789,4,0.8605,86.05000000000001,STANDARD_FEDAVG
789,5,0.8885,88.85,STANDARD_FEDAVG
789,6,0.8978,89.78,STANDARD_FEDAVG
789,7,0.9104,91.03999999999999,STANDARD_FEDAVG
789,8,0.9248,92.47999999999999,STANDARD_FEDAVG
789,9,0.9337,93.37,STANDARD_FEDAVG
789,10,0.9379,93.78999999999999,STANDARD_FEDAVG
1000,1,0.4493,44.93,STANDARD_FEDAVG
1000,2,0.7382,73.82,STANDARD_FEDAVG
1000,3,0.8499,84.99,STANDARD_FEDAVG
1000,4,0.8775,87.75,STANDARD_FEDAVG
1000,5,0.8841,88.41,STANDARD_FEDAVG
1000,6,0.8993,89.92999999999999,STANDARD_FEDAVG
1000,7,0.9021,90.21000000000001,STANDARD_FEDAVG
1000,8,0.9134,91.34,STANDARD_FEDAVG
1000,9,0.9234,92.34,STANDARD_FEDAVG
1000,10,0.9301,93.01,STANDARD_FEDAVG
