round,accuracy,accuracy_percent,risk_score,risk_level,suspicious_clients,aggregator,trust_client_1,trust_client_2,trust_client_3
1,0.863,86.3,0.023523668663647124,LOW,0,TRUST_AWARE_FEDAVG,1.0,0.998301204592347,1.0
2,0.9114,91.14,0.05167736140032304,LOW,0,TRUST_AWARE_FEDAVG,0.9777103666166107,0.9988108432146428,1.0
3,0.9346,93.46,0.07540444354113533,LOW,0,TRUST_AWARE_FEDAVG,0.9843972566316275,0.9991675902502499,0.993610136706053
4,0.9493,94.93,0.09201303566078652,LOW,0,TRUST_AWARE_FEDAVG,0.9890780796421392,0.9757814343183886,0.995527095694237
5,0.9558,95.58,0.10375421119472358,LOW,0,TRUST_AWARE_FEDAVG,0.9923546557494973,0.983047004022872,0.9918428263503114
6,0.9649,96.49,0.11898089887243278,LOW,0,TRUST_AWARE_FEDAVG,0.9693494397372813,0.9881329028160104,0.9942899784452179
7,0.969,96.89999999999999,0.1317038814017619,LOW,0,TRUST_AWARE_FEDAVG,0.9764676863167369,0.9916930319712072,0.9960029849116525
8,0.971,97.1,0.14652175940191745,LOW,0,TRUST_AWARE_FEDAVG,0.9835273804217157,0.994185122379845,0.9788189965340817
9,0.9737,97.37,0.1550252134670181,LOW,0,TRUST_AWARE_FEDAVG,0.9809496382305832,0.9959295856658914,0.9851732975738572
10,0.9763,97.63,0.1676110881970466,LOW,0,TRUST_AWARE_FEDAVG,0.9866647467614083,0.9733572065838083,0.9896213083017
