round,accuracy,accuracy_percent,risk_score,risk_level,suspicious_clients,aggregator,trust_client_1,trust_client_2,trust_client_3
1,0.8517,85.17,0.0980301802717679,LOW,0,TRUST_AWARE_FEDAVG,1.0,1.0,0.8603342219282409
2,0.9065,90.64999999999999,0.161485716467406,LOW,0,TRUST_AWARE_FEDAVG,1.0,1.0,0.7589405183431073
3,0.9266,92.66,0.30106671000625085,MEDIUM,1,TRIMMED_MEAN,1.0,1.0,0.690676777361614
4,0.9475,94.75,0.31552623119348433,MEDIUM,1,TRIMMED_MEAN,1.0,1.0,0.6590180516044825
5,0.9528,95.28,0.3283189993451172,MEDIUM,1,TRIMMED_MEAN,1.0,1.0,0.630100747407209
6,0.9599,95.99,0.3384937659703479,MEDIUM,1,TRIMMED_MEAN,1.0,1.0,0.6222815097611336
7,0.9663,96.63000000000001,0.35378600626625545,MEDIUM,1,TRIMMED_MEAN,1.0,1.0,0.6100182874719705
8,0.9691,96.91,0.3648116258573805,MEDIUM,1,TRIMMED_MEAN,1.0,1.0,0.6021106560634789
9,0.9723,97.23,0.3705063703635148,MEDIUM,1,TRIMMED_MEAN,1.0,1.0,0.600412789745258
10,0.9746,97.46000000000001,0.38004859491896575,MEDIUM,1,TRIMMED_MEAN,1.0,1.0,0.5970800609776171
