round,accuracy,accuracy_percent,risk_score,risk_level,suspicious_clients,aggregator,trust_client_1,trust_client_2,trust_client_3
1,0.6516,65.16,0.17625223963826916,LOW,0,TRUST_AWARE_FEDAVG,0.8529487145187529,1.0,1.0
2,0.832,83.2,0.14214584043009332,LOW,0,TRUST_AWARE_FEDAVG,0.897064100163127,1.0,1.0
3,0.8786,87.86,0.18333751974246723,LOW,0,TRUST_AWARE_FEDAVG,0.8041155408084258,1.0,1.0
4,0.9094,90.94,0.19635391390195214,LOW,0,TRUST_AWARE_FEDAVG,0.7684133727844837,1.0,1.0
5,0.9236,92.36,0.31659740466752073,MEDIUM,1,TRIMMED_MEAN,0.7229909736705216,1.0,1.0
6,0.9356,93.56,0.3309948747190339,MEDIUM,1,TRIMMED_MEAN,0.7037443834783175,1.0,1.0
7,0.9481,94.81,0.3453887067253188,MEDIUM,1,TRIMMED_MEAN,0.6797974986297936,1.0,1.0
8,0.9513,95.13000000000001,0.3584104528909092,MEDIUM,1,TRIMMED_MEAN,0.6661219903290075,1.0,1.0
9,0.9543,95.43,0.36601550225906265,MEDIUM,1,TRIMMED_MEAN,0.6609255803475294,1.0,1.0
10,0.961,96.1,0.37413086033479775,MEDIUM,1,TRIMMED_MEAN,0.6620301588153398,1.0,1.0
