round,accuracy,accuracy_percent,risk_score,risk_level,suspicious_clients,aggregator,trust_client_1,trust_client_2,trust_client_3
1,0.7032,70.32000000000001,0.3035272063027047,MEDIUM,1,TRIMMED_MEAN,0.7211599698760309,1.0,1.0
2,0.8344,83.44,0.15760796453051398,LOW,0,TRUST_AWARE_FEDAVG,0.8048119789132215,0.7963454110614523,1.0
3,0.8721,87.21,0.29206225765485244,LOW,1,TRUST_AWARE_FEDAVG,0.6598242929631324,0.8574417877430165,1.0
4,0.9207,92.07,0.3110086897755784,MEDIUM,1,TRIMMED_MEAN,0.5748643732577354,0.9002092514201114,1.0
5,0.9238,92.38,0.32915178210334034,MEDIUM,1,TRIMMED_MEAN,0.5096565528564492,0.9301464759940778,1.0
6,0.9358,93.58,0.3425419912683342,MEDIUM,1,TRIMMED_MEAN,0.47100609593927556,0.9511025331958545,1.0
7,0.9487,94.87,0.3548266433236382,MEDIUM,1,TRIMMED_MEAN,0.4424597679861797,0.9657717732370981,1.0
8,0.9521,95.21,0.3652520229372845,MEDIUM,1,TRIMMED_MEAN,0.4320939759821594,0.9760402412659686,1.0
9,0.9545,95.45,0.37457613276517737,MEDIUM,1,TRIMMED_MEAN,0.4089785402123906,0.9832281688861779,1.0
10,0.9612,96.12,0.3776625457959565,MEDIUM,1,TRIMMED_MEAN,0.40006877767663046,0.9882597182203245,1.0
