round,accuracy,accuracy_percent,risk_score,risk_level,suspicious_clients,aggregator,trust_client_1,trust_client_2,trust_client_3,trust_client_4,trust_client_5,trust_client_6,trust_client_7,trust_client_8,trust_client_9,trust_client_10
1,0.5045,50.449999999999996,0.09261188658591132,LOW,0,TRUST_AWARE_FEDAVG,0.9996618388676857,0.9925795624066758,1.0,0.9646233946498017,1.0,0.9949433656843807,1.0,1.0,1.0,0.7744393887202486
2,0.6608,66.08000000000001,0.10750281428299954,LOW,1,TRUST_AWARE_FEDAVG,0.9997632872073798,0.994805693684673,1.0,0.9752363762548613,1.0,0.9964603559790663,1.0,1.0,1.0,0.5421075721045708
3,0.8337,83.37,0.12008192645888036,LOW,1,TRUST_AWARE_FEDAVG,0.9998343010451658,0.996363985579271,0.998644863170601,0.9826654633784029,0.8968196806688935,0.9975222491853464,0.9287272267722704,0.9755745083630569,1.0,0.4292020684426729
4,0.8691,86.91,0.18368118769754765,LOW,1,TRUST_AWARE_FEDAVG,0.999884010731616,0.9974547899054895,0.9861110309175809,0.9765885308932659,0.9193003880024573,0.9937626359439171,0.9501090587405892,0.9829021558541398,1.0,0.35431004900274315
5,0.8919,89.19,0.2172012928066857,LOW,1,TRUST_AWARE_FEDAVG,0.9966031651617044,0.9982183529338426,0.9902777216423067,0.983611971625286,0.9265134183106583,0.9956338451607418,0.9579841646318217,0.9707908348044316,1.0,0.3029389869481022
6,0.9062,90.62,0.2406220887744754,LOW,1,TRUST_AWARE_FEDAVG,0.9467269840788035,0.9987528470536897,0.9860196192950299,0.9422964809895238,0.9465769718218645,0.9969436916125192,0.9705889152422751,0.979553584363102,1.0,0.2709411035642144
7,0.9162,91.62,0.25428672717593814,LOW,1,TRUST_AWARE_FEDAVG,0.9627088888551625,0.9813709270587956,0.9858410311994543,0.9596075366926666,0.9626038802753052,0.9832523422469804,0.9794122406695924,0.9856875090541715,0.9597069385625343,0.2469400112380511
8,0.9228,92.28,0.2622618355245573,LOW,1,TRUST_AWARE_FEDAVG,0.9738962221986136,0.986959648941157,0.9856748477222083,0.9717252756848667,0.9738227161927135,0.9882766395728864,0.9701982177251784,0.9534975269690801,0.9416519948251743,0.22681397613775653
9,0.9248,92.47999999999999,0.2700538566965116,LOW,1,TRUST_AWARE_FEDAVG,0.972247120889868,0.9908717542588099,0.9899723934055458,0.9802076929794066,0.974460539331908,0.9710507380164939,0.975680815222175,0.9674482688783561,0.959156396377622,0.21680056769763817
10,0.9337,93.37,0.2753509765614517,LOW,1,TRUST_AWARE_FEDAVG,0.9805729846229074,0.9936102279811669,0.9810865646374145,0.9600953223294457,0.9821223775323356,0.9797355166115456,0.9829765706555225,0.9507278423138006,0.9689553124990865,0.20443727887689309
